    Epoch 0, Loss: -53.7674560546875, Success rate: 0.1875, Mean reward: -0.6892921924591064, Std reward: 0.6548228859901428
Epoch 1, Loss: -42.068450927734375, Success rate: 0.296875, Mean reward: -0.5163913369178772, Std reward: 0.7557476162910461
Epoch 2, Loss: -41.489471435546875, Success rate: 0.3125, Mean reward: -0.4911341667175293, Std reward: 0.764542281627655
Epoch 3, Loss: -46.01139831542969, Success rate: 0.265625, Mean reward: -0.5664424300193787, Std reward: 0.728618323802948
Epoch 4, Loss: -43.538997650146484, Success rate: 0.265625, Mean reward: -0.5588023662567139, Std reward: 0.7425922155380249
Epoch 5, Loss: -55.529029846191406, Success rate: 0.171875, Mean reward: -0.7150449752807617, Std reward: 0.6339032649993896
Epoch 6, Loss: -47.530921936035156, Success rate: 0.25, Mean reward: -0.5782337188720703, Std reward: 0.7398192882537842
Epoch 7, Loss: -42.9697265625, Success rate: 0.3125, Mean reward: -0.5077544450759888, Std reward: 0.7396206259727478
Epoch 8, Loss: -53.44403076171875, Success rate: 0.203125, Mean reward: -0.664402186870575, Std reward: 0.6718519330024719
Epoch 9, Loss: -36.492530822753906, Success rate: 0.328125, Mean reward: -0.44773727655410767, Std reward: 0.8007548451423645
Epoch 10, Loss: -50.81117248535156, Success rate: 0.21875, Mean reward: -0.6354904174804688, Std reward: 0.697243869304657
Epoch 11, Loss: -45.556739807128906, Success rate: 0.25, Mean reward: -0.5970848798751831, Std reward: 0.7072961330413818
Epoch 12, Loss: -47.56235122680664, Success rate: 0.25, Mean reward: -0.6109130382537842, Std reward: 0.6845982670783997
Epoch 13, Loss: -54.15819549560547, Success rate: 0.21875, Mean reward: -0.646323561668396, Std reward: 0.6790295243263245
Epoch 14, Loss: -44.69641876220703, Success rate: 0.28125, Mean reward: -0.5513067245483398, Std reward: 0.729642391204834
Epoch 15, Loss: -45.330657958984375, Success rate: 0.28125, Mean reward: -0.5565100908279419, Std reward: 0.7221775054931641
Epoch 16, Loss: -50.97444534301758, Success rate: 0.234375, Mean reward: -0.6157284379005432, Std reward: 0.707527220249176
Epoch 17, Loss: -51.837005615234375, Success rate: 0.21875, Mean reward: -0.6439195871353149, Std reward: 0.6831774115562439
Epoch 18, Loss: -58.780635833740234, Success rate: 0.1875, Mean reward: -0.711317777633667, Std reward: 0.6124738454818726
Epoch 19, Loss: -39.61166000366211, Success rate: 0.328125, Mean reward: -0.46425217390060425, Std reward: 0.7782850861549377
Epoch 20, Loss: -32.3840446472168, Success rate: 0.375, Mean reward: -0.3819649815559387, Std reward: 0.8088745474815369
Epoch 21, Loss: -39.76949691772461, Success rate: 0.328125, Mean reward: -0.45702695846557617, Std reward: 0.787372887134552
Epoch 22, Loss: -49.1436882019043, Success rate: 0.234375, Mean reward: -0.6198025941848755, Std reward: 0.6954650282859802
Epoch 23, Loss: -42.818695068359375, Success rate: 0.3125, Mean reward: -0.5105504393577576, Std reward: 0.7396088242530823
Epoch 24, Loss: -56.44033432006836, Success rate: 0.203125, Mean reward: -0.6861164569854736, Std reward: 0.6333386898040771
Epoch 25, Loss: -48.2647590637207, Success rate: 0.234375, Mean reward: -0.6163715124130249, Std reward: 0.7028345465660095
Epoch 26, Loss: -37.836585998535156, Success rate: 0.328125, Mean reward: -0.4538423717021942, Std reward: 0.7921923995018005
Epoch 27, Loss: -46.6170654296875, Success rate: 0.265625, Mean reward: -0.5680315494537354, Std reward: 0.728000819683075
Epoch 28, Loss: -48.960060119628906, Success rate: 0.234375, Mean reward: -0.6036102771759033, Std reward: 0.7271120548248291
Epoch 29, Loss: -39.877723693847656, Success rate: 0.3125, Mean reward: -0.49134716391563416, Std reward: 0.7654308080673218
Epoch 30, Loss: -44.150970458984375, Success rate: 0.25, Mean reward: -0.5600140690803528, Std reward: 0.7694247961044312
Epoch 31, Loss: -45.805747985839844, Success rate: 0.265625, Mean reward: -0.54583740234375, Std reward: 0.7656852602958679
Epoch 32, Loss: -53.343223571777344, Success rate: 0.234375, Mean reward: -0.6148287057876587, Std reward: 0.7046568393707275
Epoch 33, Loss: -43.39915084838867, Success rate: 0.296875, Mean reward: -0.5093632340431213, Std reward: 0.7634488344192505
Epoch 34, Loss: -42.13667297363281, Success rate: 0.296875, Mean reward: -0.5121705532073975, Std reward: 0.7593624591827393
Epoch 35, Loss: -45.08734130859375, Success rate: 0.265625, Mean reward: -0.557811975479126, Std reward: 0.7444270253181458
Epoch 36, Loss: -49.034175872802734, Success rate: 0.21875, Mean reward: -0.6394121050834656, Std reward: 0.6915920376777649
Epoch 37, Loss: -57.49253845214844, Success rate: 0.1875, Mean reward: -0.6976621150970459, Std reward: 0.6378839612007141
Epoch 38, Loss: -45.194114685058594, Success rate: 0.28125, Mean reward: -0.5446272492408752, Std reward: 0.7385814189910889
Epoch 39, Loss: -43.483821868896484, Success rate: 0.296875, Mean reward: -0.5112969875335693, Std reward: 0.7628347277641296
Epoch 40, Loss: -48.324806213378906, Success rate: 0.265625, Mean reward: -0.5603079199790955, Std reward: 0.7392632365226746
Epoch 41, Loss: -38.353973388671875, Success rate: 0.328125, Mean reward: -0.4673646092414856, Std reward: 0.772834062576294
Epoch 42, Loss: -44.12858581542969, Success rate: 0.296875, Mean reward: -0.5126168131828308, Std reward: 0.7622639536857605
Epoch 43, Loss: -52.266685485839844, Success rate: 0.21875, Mean reward: -0.6434285044670105, Std reward: 0.6828258037567139
Epoch 44, Loss: -53.047119140625, Success rate: 0.203125, Mean reward: -0.6585439443588257, Std reward: 0.6841259002685547
Epoch 45, Loss: -35.18486404418945, Success rate: 0.359375, Mean reward: -0.41567444801330566, Std reward: 0.7937594056129456
Epoch 46, Loss: -61.32219696044922, Success rate: 0.140625, Mean reward: -0.7801452875137329, Std reward: 0.5530532598495483
Epoch 47, Loss: -37.72924041748047, Success rate: 0.3125, Mean reward: -0.4716586172580719, Std reward: 0.7947186827659607
Epoch 48, Loss: -61.98921203613281, Success rate: 0.140625, Mean reward: -0.7678629755973816, Std reward: 0.5798727869987488
Epoch 49, Loss: -44.47465133666992, Success rate: 0.28125, Mean reward: -0.5412165522575378, Std reward: 0.7439001202583313
Epoch 50, Loss: -57.42928695678711, Success rate: 0.15625, Mean reward: -0.743056058883667, Std reward: 0.6037729978561401
Epoch 51, Loss: -56.251953125, Success rate: 0.21875, Mean reward: -0.6434237360954285, Std reward: 0.681904673576355
Epoch 52, Loss: -41.611724853515625, Success rate: 0.296875, Mean reward: -0.5081338882446289, Std reward: 0.7673218846321106
Epoch 53, Loss: -39.117374420166016, Success rate: 0.34375, Mean reward: -0.4552105963230133, Std reward: 0.7634823322296143
Epoch 54, Loss: -55.656742095947266, Success rate: 0.1875, Mean reward: -0.6796790957450867, Std reward: 0.6759284138679504
Epoch 55, Loss: -48.09300994873047, Success rate: 0.25, Mean reward: -0.6035323143005371, Std reward: 0.6953073740005493
Epoch 56, Loss: -54.17443084716797, Success rate: 0.21875, Mean reward: -0.6441934108734131, Std reward: 0.6801661849021912
Epoch 57, Loss: -45.177757263183594, Success rate: 0.265625, Mean reward: -0.5448793172836304, Std reward: 0.7650576233863831
Epoch 58, Loss: -39.22010803222656, Success rate: 0.328125, Mean reward: -0.4548196494579315, Std reward: 0.789602518081665
Epoch 59, Loss: -56.6796875, Success rate: 0.21875, Mean reward: -0.6549165844917297, Std reward: 0.6647678017616272
Epoch 60, Loss: -40.3548469543457, Success rate: 0.328125, Mean reward: -0.4571598470211029, Std reward: 0.7880855798721313
Epoch 61, Loss: -42.20234680175781, Success rate: 0.296875, Mean reward: -0.4995652437210083, Std reward: 0.7794186472892761
Epoch 62, Loss: -53.173187255859375, Success rate: 0.21875, Mean reward: -0.6375441551208496, Std reward: 0.6940770149230957
Epoch 63, Loss: -46.51477813720703, Success rate: 0.28125, Mean reward: -0.5638980269432068, Std reward: 0.7085247039794922
Epoch 64, Loss: -41.37098693847656, Success rate: 0.328125, Mean reward: -0.47695696353912354, Std reward: 0.7641034126281738
Epoch 65, Loss: -36.57331085205078, Success rate: 0.359375, Mean reward: -0.4173845052719116, Std reward: 0.7902814149856567
Epoch 66, Loss: -56.40680694580078, Success rate: 0.171875, Mean reward: -0.7008496522903442, Std reward: 0.6634670495986938
Epoch 67, Loss: -49.579811096191406, Success rate: 0.25, Mean reward: -0.5935423374176025, Std reward: 0.7138235569000244
Epoch 68, Loss: -44.75926971435547, Success rate: 0.296875, Mean reward: -0.5265589952468872, Std reward: 0.7403908967971802
Epoch 69, Loss: -36.30686950683594, Success rate: 0.34375, Mean reward: -0.41770702600479126, Std reward: 0.8136435151100159
Epoch 70, Loss: -48.86446762084961, Success rate: 0.25, Mean reward: -0.5853473544120789, Std reward: 0.7293232679367065
Epoch 71, Loss: -41.525054931640625, Success rate: 0.328125, Mean reward: -0.47014617919921875, Std reward: 0.7704256772994995
Epoch 72, Loss: -47.113929748535156, Success rate: 0.265625, Mean reward: -0.5662962198257446, Std reward: 0.7313652038574219
Epoch 73, Loss: -56.877235412597656, Success rate: 0.1875, Mean reward: -0.6866039037704468, Std reward: 0.6595478057861328
Epoch 74, Loss: -46.426292419433594, Success rate: 0.265625, Mean reward: -0.5599006414413452, Std reward: 0.7414394617080688
Epoch 75, Loss: -37.913299560546875, Success rate: 0.359375, Mean reward: -0.42575645446777344, Std reward: 0.7778597474098206
Epoch 76, Loss: -47.519309997558594, Success rate: 0.25, Mean reward: -0.5849359035491943, Std reward: 0.7322918176651001
Epoch 77, Loss: -58.97603225708008, Success rate: 0.15625, Mean reward: -0.7502400875091553, Std reward: 0.5873194336891174
Epoch 78, Loss: -45.688106536865234, Success rate: 0.28125, Mean reward: -0.5223034620285034, Std reward: 0.7731199860572815
Epoch 79, Loss: -36.75783920288086, Success rate: 0.359375, Mean reward: -0.4120914340019226, Std reward: 0.7984715104103088
Epoch 80, Loss: -34.35459899902344, Success rate: 0.375, Mean reward: -0.3898990750312805, Std reward: 0.7990569472312927
Epoch 81, Loss: -56.52638626098633, Success rate: 0.1875, Mean reward: -0.6947376728057861, Std reward: 0.6464104652404785
Epoch 82, Loss: -48.15590286254883, Success rate: 0.265625, Mean reward: -0.5753201842308044, Std reward: 0.7180140614509583
Epoch 83, Loss: -43.18040466308594, Success rate: 0.296875, Mean reward: -0.500105619430542, Std reward: 0.7799519896507263
Epoch 84, Loss: -55.04472732543945, Success rate: 0.203125, Mean reward: -0.6685308218002319, Std reward: 0.6660777926445007
Epoch 85, Loss: -43.569950103759766, Success rate: 0.28125, Mean reward: -0.5211220383644104, Std reward: 0.7762866020202637
Epoch 86, Loss: -43.08200454711914, Success rate: 0.3125, Mean reward: -0.49330416321754456, Std reward: 0.7622026801109314
Epoch 87, Loss: -42.357635498046875, Success rate: 0.296875, Mean reward: -0.5151606798171997, Std reward: 0.7578902840614319
Epoch 88, Loss: -48.482017517089844, Success rate: 0.28125, Mean reward: -0.5623846054077148, Std reward: 0.7089122533798218
Epoch 89, Loss: -49.963104248046875, Success rate: 0.25, Mean reward: -0.5891152620315552, Std reward: 0.7226674556732178
Epoch 90, Loss: -47.225196838378906, Success rate: 0.265625, Mean reward: -0.5591198205947876, Std reward: 0.7438950538635254
Epoch 91, Loss: -42.69469451904297, Success rate: 0.296875, Mean reward: -0.49927303194999695, Std reward: 0.7831736207008362
Epoch 92, Loss: -50.498878479003906, Success rate: 0.234375, Mean reward: -0.6041536331176758, Std reward: 0.72445148229599
Epoch 93, Loss: -39.256568908691406, Success rate: 0.3125, Mean reward: -0.4734676480293274, Std reward: 0.794946551322937
Epoch 94, Loss: -49.014892578125, Success rate: 0.265625, Mean reward: -0.5744367837905884, Std reward: 0.7198576331138611
Epoch 95, Loss: -56.38208770751953, Success rate: 0.234375, Mean reward: -0.628153920173645, Std reward: 0.6828036904335022
Epoch 96, Loss: -40.14895248413086, Success rate: 0.328125, Mean reward: -0.4423447251319885, Std reward: 0.8090759515762329
Epoch 97, Loss: -47.218204498291016, Success rate: 0.265625, Mean reward: -0.5744484066963196, Std reward: 0.7189332246780396
Epoch 98, Loss: -45.63822937011719, Success rate: 0.265625, Mean reward: -0.5592900514602661, Std reward: 0.7403265833854675
Epoch 99, Loss: -33.59565353393555, Success rate: 0.390625, Mean reward: -0.36752259731292725, Std reward: 0.8018952012062073
Epoch 100, Loss: -45.602813720703125, Success rate: 0.296875, Mean reward: -0.5328009724617004, Std reward: 0.7304174900054932
Epoch 101, Loss: -41.953895568847656, Success rate: 0.3125, Mean reward: -0.4957547187805176, Std reward: 0.7575992941856384
Epoch 102, Loss: -47.30500030517578, Success rate: 0.265625, Mean reward: -0.5574361085891724, Std reward: 0.7462447881698608
Epoch 103, Loss: -44.419158935546875, Success rate: 0.3125, Mean reward: -0.49756869673728943, Std reward: 0.7577693462371826
Epoch 104, Loss: -49.67055130004883, Success rate: 0.25, Mean reward: -0.5876527428627014, Std reward: 0.7239197492599487
Epoch 105, Loss: -55.84889221191406, Success rate: 0.21875, Mean reward: -0.6418914198875427, Std reward: 0.6838856935501099
Epoch 106, Loss: -46.945457458496094, Success rate: 0.28125, Mean reward: -0.5470684766769409, Std reward: 0.734870195388794
Epoch 107, Loss: -45.984596252441406, Success rate: 0.28125, Mean reward: -0.5343315005302429, Std reward: 0.7548215985298157
Epoch 108, Loss: -46.87403869628906, Success rate: 0.296875, Mean reward: -0.529637336730957, Std reward: 0.7352333664894104
Epoch 109, Loss: -46.0465087890625, Success rate: 0.296875, Mean reward: -0.5215429663658142, Std reward: 0.7471493482589722
Epoch 110, Loss: -34.77119445800781, Success rate: 0.375, Mean reward: -0.3852418065071106, Std reward: 0.8051461577415466
Epoch 111, Loss: -54.277000427246094, Success rate: 0.21875, Mean reward: -0.648865282535553, Std reward: 0.6730828881263733
Epoch 112, Loss: -50.878509521484375, Success rate: 0.265625, Mean reward: -0.5795764923095703, Std reward: 0.7089484930038452
Epoch 113, Loss: -59.356781005859375, Success rate: 0.203125, Mean reward: -0.6764443516731262, Std reward: 0.6487632393836975
Epoch 114, Loss: -42.06604766845703, Success rate: 0.328125, Mean reward: -0.4709506332874298, Std reward: 0.7670334577560425
Epoch 115, Loss: -47.379112243652344, Success rate: 0.28125, Mean reward: -0.5587097406387329, Std reward: 0.7185900211334229
Epoch 116, Loss: -44.98193359375, Success rate: 0.296875, Mean reward: -0.5129746198654175, Std reward: 0.76224684715271
Epoch 117, Loss: -41.56389617919922, Success rate: 0.34375, Mean reward: -0.46055570244789124, Std reward: 0.7591705918312073
Epoch 118, Loss: -49.043846130371094, Success rate: 0.265625, Mean reward: -0.5754262804985046, Std reward: 0.7186881303787231
Epoch 119, Loss: -49.273048400878906, Success rate: 0.265625, Mean reward: -0.5679132342338562, Std reward: 0.7296782732009888
Epoch 120, Loss: -45.64141082763672, Success rate: 0.3125, Mean reward: -0.4861237704753876, Std reward: 0.7734082341194153
Epoch 121, Loss: -57.367462158203125, Success rate: 0.203125, Mean reward: -0.6634483933448792, Std reward: 0.6769776344299316
Epoch 122, Loss: -46.87383270263672, Success rate: 0.265625, Mean reward: -0.562063455581665, Std reward: 0.7356135845184326
Epoch 123, Loss: -53.51495361328125, Success rate: 0.234375, Mean reward: -0.6204993724822998, Std reward: 0.6947818398475647
Epoch 124, Loss: -51.28607177734375, Success rate: 0.265625, Mean reward: -0.5648832321166992, Std reward: 0.7325842380523682
Epoch 125, Loss: -35.790550231933594, Success rate: 0.359375, Mean reward: -0.4101153612136841, Std reward: 0.7990051507949829
Epoch 126, Loss: -58.58183670043945, Success rate: 0.1875, Mean reward: -0.7108501195907593, Std reward: 0.6110826134681702
